chr	start	end	depth
CHR_HSCHR14_3_CTG1	321918	322575	
CHR_HSCHR14_3_CTG1	322615	323072	
CHR_HSCHR14_3_CTG1	323178	324056	
CHR_HSCHR5_1_CTG1_1	274880	275174	
CHR_HSCHR5_1_CTG1_1	288687	288898	
CHR_HSCHR5_1_CTG1_1	291237	291496	
CHR_HSCHR5_1_CTG1_1	292206	292546	
CHR_HSCHR5_1_CTG1_1	292566	292858	
CHR_HSCHR5_1_CTG1_1	294297	294741	
CHR_HSCHR5_1_CTG1_1	295912	296264	
CHR_HSCHR5_1_CTG1_1	296552	296800	
CHR_HSCHR5_1_CTG1_1	301791	303006	
CHR_HSCHR5_1_CTG1_1	303032	303917	
CHR_HSCHR5_1_CTG1_1	473420	473688	
CHR_HSCHR5_1_CTG1_1	487201	487412	
CHR_HSCHR5_1_CTG1_1	489751	490010	
CHR_HSCHR5_1_CTG1_1	490720	491060	
CHR_HSCHR5_1_CTG1_1	491080	491372	
CHR_HSCHR5_1_CTG1_1	492811	493261	
CHR_HSCHR5_1_CTG1_1	494428	494678	
CHR_HSCHR5_1_CTG1_1	495068	495258	
CHR_HSCHR5_1_CTG1_1	500302	500627	
CHR_HSCHR5_1_CTG1_1	500800	501516	
CHR_HSCHR5_1_CTG1_1	1117192	1117598	
CHR_HSCHR5_1_CTG1_1	1122775	1123036	
CHR_HSCHR5_1_CTG1_1	1126174	1126408	
CHR_HSCHR5_1_CTG1_1	1129563	1129804	
CHR_HSCHR5_1_CTG1_1	1132410	1133109	
CHR_HSCHR5_1_CTG1_1	1134260	1134512	
CHR_HSCHR5_2_CTG1_1	456778	457678	
CHR_HSCHR5_2_CTG1_1	457704	458919	
CHR_HSCHR5_2_CTG1_1	463905	464153	
CHR_HSCHR5_2_CTG1_1	464445	464793	
CHR_HSCHR5_2_CTG1_1	465964	466408	
CHR_HSCHR5_2_CTG1_1	467847	468139	
CHR_HSCHR5_2_CTG1_1	468159	468499	
CHR_HSCHR5_2_CTG1_1	469209	469468	
CHR_HSCHR5_2_CTG1_1	471807	472018	
CHR_HSCHR5_2_CTG1_1	485532	485800	
CHR_HSCHR5_2_CTG1_1	1585711	1586108	
CHR_HSCHR5_2_CTG1_1	1591285	1591546	
CHR_HSCHR5_2_CTG1_1	1594684	1594918	
CHR_HSCHR5_2_CTG1_1	1598073	1598314	
CHR_HSCHR5_2_CTG1_1	1600920	1601619	
CHR_HSCHR5_2_CTG1_1	1602770	1603022	
CHR_HSCHR6_MHC_COX_CTG1	3476549	3478226	
CHR_HSCHR6_MHC_COX_CTG1	3478256	3478596	
CHR_HSCHR6_MHC_COX_CTG1	3478657	3480061	
CHR_HSCHR6_MHC_DBB_CTG1	3253340	3254943	
CHR_HSCHR6_MHC_DBB_CTG1	3254973	3255314	
CHR_HSCHR6_MHC_DBB_CTG1	3255375	3256295	
CHR_HSCHR6_MHC_DBB_CTG1	3279635	3281312	
CHR_HSCHR6_MHC_DBB_CTG1	3281342	3281682	
CHR_HSCHR6_MHC_DBB_CTG1	3281743	3283147	
CHR_HSCHR6_MHC_MCF_CTG1	3350099	3350556	
CHR_HSCHR6_MHC_MCF_CTG1	3380264	3381937	
CHR_HSCHR6_MHC_MCF_CTG1	3381967	3382307	
CHR_HSCHR6_MHC_MCF_CTG1	3382368	3383772	
CHR_HSCHR6_MHC_QBL_CTG1	3116136	3116281	
CHR_HSCHR6_MHC_QBL_CTG1	3261462	3263139	
CHR_HSCHR6_MHC_QBL_CTG1	3263169	3263509	
CHR_HSCHR6_MHC_QBL_CTG1	3263570	3264974	
CHR_HSCHR6_MHC_SSTO_CTG1	3306754	3308357	
CHR_HSCHR6_MHC_SSTO_CTG1	3308387	3308728	
CHR_HSCHR6_MHC_SSTO_CTG1	3308789	3309708	
CHR_HSCHR6_MHC_SSTO_CTG1	3339417	3341091	
CHR_HSCHR6_MHC_SSTO_CTG1	3341121	3341461	
CHR_HSCHR6_MHC_SSTO_CTG1	3341522	3342926	
chr1	9688106	9688383	56.582220216606494
chr1	9691397	9691641	56.31209016393443
chr1	9710128	9710350	56.6365990990991
chr1	9710354	9710666	57.05504807692307
chr1	9715471	9716233	56.99655511811024
chr1	9716889	9717178	55.55397923875432
chr1	9718624	9718985	56.75006925207756
chr1	9719851	9720312	56.707321041214755
chr1	9721055	9721318	56.56131178707225
chr1	9721691	9722223	56.755921052631585
chr1	9722458	9722676	56.129357798165145
chr1	9723899	9724162	57.28184410646388
chr1	9724206	9724491	55.154999999999994
chr1	9724734	9725006	58.659375
chr1	9726839	9729184	45.850586353944564
chr1	11785653	11790968	55.192888052681084
chr1	11791137	11791396	59.09256756756756
chr1	11792208	11792449	57.08858921161826
chr1	11793837	11794159	55.265838509316765
chr1	11794288	11794608	56.760468749999994
chr1	11794659	11795418	57.042358366271415
chr1	11802811	11804602	54.57177554438861
chr1	11804929	11806006	56.5291086350975
chr1	23795529	23796077	56.21701642335766
chr1	23799296	23800874	53.53044993662864
chr1	23801815	23802634	57.038919413919416
chr1	23803518	23804595	56.91165273909006
chr1	23809217	23810869	51.06703995157385
chr1	23813762	23814408	56.864976780185756
chr1	23816296	23816840	56.754503676470584
chr1	23820440	23820663	56.156950672645735
chr1	23825286	23825529	57.242181069958846
chr1	23837994	23838690	56.89744971264368
chr1	32274667	32275325	57.43396656534954
chr1	32285444	32286235	56.83574589127686
chr1	33007870	33010903	54.168183316848
chr1	33011378	33011780	57.11324626865671
chr1	33012974	33013472	56.99287148594377
chr1	33014295	33014664	58.670392953929536
chr1	33019613	33020231	56.83321197411003
chr1	33021523	33021773	56.1388
chr1	33031474	33031731	55.80262645914397
chr1	33036666	33037062	56.206944444444446
chr1	33080129	33080381	56.252876984126985
chr1	33080851	33081066	56.09290697674419
chr1	45507286	45507620	56.568937125748505
chr1	45508726	45513452	51.26590139652983
chr1	53196359	53197165	56.44637096774194
chr1	53199707	53204385	51.46307182556647
chr1	53207405	53211615	50.96989311163895
chr1	75724277	75724887	55.879590163934424
chr1	75728319	75728558	56.81589958158996
chr1	75732783	75733611	56.41621376811594
chr1	75745407	75745984	56.84267764298094
chr1	75749349	75749629	56.27241071428572
chr1	75750700	75750961	57.03745210727969
chr1	75769107	75769312	56.05914634146342
chr1	89524766	89525092	56.77461656441718
chr1	89526892	89527056	56.988262195121955
chr1	89568171	89568377	56.873300970873785
chr1	89579521	89579758	56.095464135021096
chr1	89592701	89597934	51.863806611886105
chr1	89712639	89719603	52.87174755887421
chr1	89758787	89759010	55.66109865470852
chr1	89761933	89764588	46.912532956685496
chr1	89768148	89769973	47.37556164383562
chr1	89843353	89843852	56.9869739478958
chr1	89846510	89846728	57.05149082568808
chr1	89932997	89936681	49.36462404994571
chr1	100186849	100196492	54.00988540910505
chr1	100210473	100211194	56.049133148405
chr1	100214747	100215053	57.06429738562091
chr1	100230663	100230984	56.51947040498443
chr1	112917108	112918114	56.55864811133201
chr1	112921920	112922462	56.67878228782288
chr1	112955206	112956133	56.416666666666664
chr1	112956769	112957083	56.59315286624204
