chr	start	end	depth
CHR_HSCHR14_3_CTG1	321918	322575	
CHR_HSCHR14_3_CTG1	322615	323072	
CHR_HSCHR14_3_CTG1	323178	324056	
CHR_HSCHR5_1_CTG1_1	274880	275174	
CHR_HSCHR5_1_CTG1_1	288687	288898	
CHR_HSCHR5_1_CTG1_1	291237	291496	
CHR_HSCHR5_1_CTG1_1	292206	292546	
CHR_HSCHR5_1_CTG1_1	292566	292858	
CHR_HSCHR5_1_CTG1_1	294297	294741	
CHR_HSCHR5_1_CTG1_1	295912	296264	
CHR_HSCHR5_1_CTG1_1	296552	296800	
CHR_HSCHR5_1_CTG1_1	301791	303006	
CHR_HSCHR5_1_CTG1_1	303032	303917	
CHR_HSCHR5_1_CTG1_1	473420	473688	
CHR_HSCHR5_1_CTG1_1	487201	487412	
CHR_HSCHR5_1_CTG1_1	489751	490010	
CHR_HSCHR5_1_CTG1_1	490720	491060	
CHR_HSCHR5_1_CTG1_1	491080	491372	
CHR_HSCHR5_1_CTG1_1	492811	493261	
CHR_HSCHR5_1_CTG1_1	494428	494678	
CHR_HSCHR5_1_CTG1_1	495068	495258	
CHR_HSCHR5_1_CTG1_1	500302	500627	
CHR_HSCHR5_1_CTG1_1	500800	501516	
CHR_HSCHR5_1_CTG1_1	1117192	1117598	
CHR_HSCHR5_1_CTG1_1	1122775	1123036	
CHR_HSCHR5_1_CTG1_1	1126174	1126408	
CHR_HSCHR5_1_CTG1_1	1129563	1129804	
CHR_HSCHR5_1_CTG1_1	1132410	1133109	
CHR_HSCHR5_1_CTG1_1	1134260	1134512	
CHR_HSCHR5_2_CTG1_1	456778	457678	
CHR_HSCHR5_2_CTG1_1	457704	458919	
CHR_HSCHR5_2_CTG1_1	463905	464153	
CHR_HSCHR5_2_CTG1_1	464445	464793	
CHR_HSCHR5_2_CTG1_1	465964	466408	
CHR_HSCHR5_2_CTG1_1	467847	468139	
CHR_HSCHR5_2_CTG1_1	468159	468499	
CHR_HSCHR5_2_CTG1_1	469209	469468	
CHR_HSCHR5_2_CTG1_1	471807	472018	
CHR_HSCHR5_2_CTG1_1	485532	485800	
CHR_HSCHR5_2_CTG1_1	1585711	1586108	
CHR_HSCHR5_2_CTG1_1	1591285	1591546	
CHR_HSCHR5_2_CTG1_1	1594684	1594918	
CHR_HSCHR5_2_CTG1_1	1598073	1598314	
CHR_HSCHR5_2_CTG1_1	1600920	1601619	
CHR_HSCHR5_2_CTG1_1	1602770	1603022	
CHR_HSCHR6_MHC_COX_CTG1	3476549	3478226	
CHR_HSCHR6_MHC_COX_CTG1	3478256	3478596	
CHR_HSCHR6_MHC_COX_CTG1	3478657	3480061	
CHR_HSCHR6_MHC_DBB_CTG1	3253340	3254943	
CHR_HSCHR6_MHC_DBB_CTG1	3254973	3255314	
CHR_HSCHR6_MHC_DBB_CTG1	3255375	3256295	
CHR_HSCHR6_MHC_DBB_CTG1	3279635	3281312	
CHR_HSCHR6_MHC_DBB_CTG1	3281342	3281682	
CHR_HSCHR6_MHC_DBB_CTG1	3281743	3283147	
CHR_HSCHR6_MHC_MCF_CTG1	3350099	3350556	
CHR_HSCHR6_MHC_MCF_CTG1	3380264	3381937	
CHR_HSCHR6_MHC_MCF_CTG1	3381967	3382307	
CHR_HSCHR6_MHC_MCF_CTG1	3382368	3383772	
CHR_HSCHR6_MHC_QBL_CTG1	3116136	3116281	
CHR_HSCHR6_MHC_QBL_CTG1	3261462	3263139	
CHR_HSCHR6_MHC_QBL_CTG1	3263169	3263509	
CHR_HSCHR6_MHC_QBL_CTG1	3263570	3264974	
CHR_HSCHR6_MHC_SSTO_CTG1	3306754	3308357	
CHR_HSCHR6_MHC_SSTO_CTG1	3308387	3308728	
CHR_HSCHR6_MHC_SSTO_CTG1	3308789	3309708	
CHR_HSCHR6_MHC_SSTO_CTG1	3339417	3341091	
CHR_HSCHR6_MHC_SSTO_CTG1	3341121	3341461	
CHR_HSCHR6_MHC_SSTO_CTG1	3341522	3342926	
chr1	9688106	9688383	65.80550541516246
chr1	9691397	9691641	67.24200819672132
chr1	9710128	9710350	75.52150900900901
chr1	9710354	9710666	65.70344551282051
chr1	9715471	9716233	73.68100393700787
chr1	9716889	9717178	73.32949826989619
chr1	9718624	9718985	75.55734072022162
chr1	9719851	9720312	74.4209327548807
chr1	9721055	9721318	75.58526615969582
chr1	9721691	9722223	75.18139097744361
chr1	9722458	9722676	74.86077981651377
chr1	9723899	9724162	74.387927756654
chr1	9724206	9724491	75.84359649122807
chr1	9724734	9725006	66.76792279411765
chr1	9726839	9729184	41.26311300639659
chr1	11785653	11790968	71.41284101599248
chr1	11791137	11791396	75.20453667953669
chr1	11792208	11792449	72.67717842323651
chr1	11793837	11794159	75.6514751552795
chr1	11794288	11794608	74.647109375
chr1	11794659	11795418	56.98402503293808
chr1	11802811	11804602	66.39660804020102
chr1	11804929	11806006	52.339182915506036
chr1	23795529	23796077	59.256386861313864
chr1	23799296	23800874	43.423859315589354
chr1	23801815	23802634	73.5501221001221
chr1	23803518	23804595	53.08344939647168
chr1	23809217	23810869	40.98406476997579
chr1	23813762	23814408	59.51784055727554
chr1	23816296	23816840	60.140349264705875
chr1	23820440	23820663	66.33206278026907
chr1	23825286	23825529	67.86553497942387
chr1	23837994	23838690	57.99809626436782
chr1	32274667	32275325	60.144870820668686
chr1	32285444	32286235	57.461757269279396
chr1	33007870	33010903	67.83337454665347
chr1	33011378	33011780	78.08009950248757
chr1	33012974	33013472	75.86009036144578
chr1	33014295	33014664	63.73956639566395
chr1	33019613	33020231	76.74421521035599
chr1	33021523	33021773	65.327
chr1	33031474	33031731	67.33122568093385
chr1	33036666	33037062	64.297601010101
chr1	33080129	33080381	75.93819444444445
chr1	33080851	33081066	66.83290697674418
chr1	45507286	45507620	64.12836826347305
chr1	45508726	45513452	58.37650232754972
chr1	53196359	53197165	58.531327543424325
chr1	53199707	53204385	57.79692710560069
chr1	53207405	53211615	56.11625890736342
chr1	75724277	75724887	59.61610655737705
chr1	75728319	75728558	65.75648535564854
chr1	75732783	75733611	57.62892512077294
chr1	75745407	75745984	60.430589254766026
chr1	75749349	75749629	74.81348214285714
chr1	75750700	75750961	63.706321839080466
chr1	75769107	75769312	64.4780487804878
chr1	89524766	89525092	66.4911809815951
chr1	89526892	89527056	65.63871951219512
chr1	89568171	89568377	66.95898058252428
chr1	89579521	89579758	65.45727848101265
chr1	89592701	89597934	60.37638066118861
chr1	89712639	89719603	63.77776062607696
chr1	89758787	89759010	66.17174887892376
chr1	89761933	89764588	45.318888888888885
chr1	89768148	89769973	38.71624657534247
chr1	89843353	89843852	60.41497995991985
chr1	89846510	89846728	65.36433486238532
chr1	89932997	89936681	53.05705076004343
chr1	100186849	100196492	66.40937467593072
chr1	100210473	100211194	55.499237170596395
chr1	100214747	100215053	66.17140522875818
chr1	100230663	100230984	64.33068535825545
chr1	112917108	112918114	53.229796222664014
chr1	112921920	112922462	61.320894833948344
chr1	112955206	112956133	75.30180690399138
chr1	112956769	112957083	65.25111464968153
