chr	start	end	depth
CHR_HSCHR14_3_CTG1	321918	322575	
CHR_HSCHR14_3_CTG1	322615	323072	
CHR_HSCHR14_3_CTG1	323178	324056	
CHR_HSCHR5_1_CTG1_1	274880	275174	
CHR_HSCHR5_1_CTG1_1	288687	288898	
CHR_HSCHR5_1_CTG1_1	291237	291496	
CHR_HSCHR5_1_CTG1_1	292206	292546	
CHR_HSCHR5_1_CTG1_1	292566	292858	
CHR_HSCHR5_1_CTG1_1	294297	294741	
CHR_HSCHR5_1_CTG1_1	295912	296264	
CHR_HSCHR5_1_CTG1_1	296552	296800	
CHR_HSCHR5_1_CTG1_1	301791	303006	
CHR_HSCHR5_1_CTG1_1	303032	303917	
CHR_HSCHR5_1_CTG1_1	473420	473688	
CHR_HSCHR5_1_CTG1_1	487201	487412	
CHR_HSCHR5_1_CTG1_1	489751	490010	
CHR_HSCHR5_1_CTG1_1	490720	491060	
CHR_HSCHR5_1_CTG1_1	491080	491372	
CHR_HSCHR5_1_CTG1_1	492811	493261	
CHR_HSCHR5_1_CTG1_1	494428	494678	
CHR_HSCHR5_1_CTG1_1	495068	495258	
CHR_HSCHR5_1_CTG1_1	500302	500627	
CHR_HSCHR5_1_CTG1_1	500800	501516	
CHR_HSCHR5_1_CTG1_1	1117192	1117598	
CHR_HSCHR5_1_CTG1_1	1122775	1123036	
CHR_HSCHR5_1_CTG1_1	1126174	1126408	
CHR_HSCHR5_1_CTG1_1	1129563	1129804	
CHR_HSCHR5_1_CTG1_1	1132410	1133109	
CHR_HSCHR5_1_CTG1_1	1134260	1134512	
CHR_HSCHR5_2_CTG1_1	456778	457678	
CHR_HSCHR5_2_CTG1_1	457704	458919	
CHR_HSCHR5_2_CTG1_1	463905	464153	
CHR_HSCHR5_2_CTG1_1	464445	464793	
CHR_HSCHR5_2_CTG1_1	465964	466408	
CHR_HSCHR5_2_CTG1_1	467847	468139	
CHR_HSCHR5_2_CTG1_1	468159	468499	
CHR_HSCHR5_2_CTG1_1	469209	469468	
CHR_HSCHR5_2_CTG1_1	471807	472018	
CHR_HSCHR5_2_CTG1_1	485532	485800	
CHR_HSCHR5_2_CTG1_1	1585711	1586108	
CHR_HSCHR5_2_CTG1_1	1591285	1591546	
CHR_HSCHR5_2_CTG1_1	1594684	1594918	
CHR_HSCHR5_2_CTG1_1	1598073	1598314	
CHR_HSCHR5_2_CTG1_1	1600920	1601619	
CHR_HSCHR5_2_CTG1_1	1602770	1603022	
CHR_HSCHR6_MHC_COX_CTG1	3476549	3478226	
CHR_HSCHR6_MHC_COX_CTG1	3478256	3478596	
CHR_HSCHR6_MHC_COX_CTG1	3478657	3480061	
CHR_HSCHR6_MHC_DBB_CTG1	3253340	3254943	
CHR_HSCHR6_MHC_DBB_CTG1	3254973	3255314	
CHR_HSCHR6_MHC_DBB_CTG1	3255375	3256295	
CHR_HSCHR6_MHC_DBB_CTG1	3279635	3281312	
CHR_HSCHR6_MHC_DBB_CTG1	3281342	3281682	
CHR_HSCHR6_MHC_DBB_CTG1	3281743	3283147	
CHR_HSCHR6_MHC_MCF_CTG1	3350099	3350556	
CHR_HSCHR6_MHC_MCF_CTG1	3380264	3381937	
CHR_HSCHR6_MHC_MCF_CTG1	3381967	3382307	
CHR_HSCHR6_MHC_MCF_CTG1	3382368	3383772	
CHR_HSCHR6_MHC_QBL_CTG1	3116136	3116281	
CHR_HSCHR6_MHC_QBL_CTG1	3261462	3263139	
CHR_HSCHR6_MHC_QBL_CTG1	3263169	3263509	
CHR_HSCHR6_MHC_QBL_CTG1	3263570	3264974	
CHR_HSCHR6_MHC_SSTO_CTG1	3306754	3308357	
CHR_HSCHR6_MHC_SSTO_CTG1	3308387	3308728	
CHR_HSCHR6_MHC_SSTO_CTG1	3308789	3309708	
CHR_HSCHR6_MHC_SSTO_CTG1	3339417	3341091	
CHR_HSCHR6_MHC_SSTO_CTG1	3341121	3341461	
CHR_HSCHR6_MHC_SSTO_CTG1	3341522	3342926	
chr1	9688106	9688383	52.58709386281588
chr1	9691397	9691641	54.402868852459015
chr1	9710128	9710350	54.52601351351351
chr1	9710354	9710666	54.20961538461538
chr1	9715471	9716233	54.52440944881889
chr1	9716889	9717178	54.87006920415225
chr1	9718624	9718985	54.2766620498615
chr1	9719851	9720312	54.316485900216925
chr1	9721055	9721318	53.78507604562738
chr1	9721691	9722223	52.19346804511279
chr1	9722458	9722676	54.93130733944954
chr1	9723899	9724162	53.584220532319385
chr1	9724206	9724491	53.9588596491228
chr1	9724734	9725006	53.731617647058826
chr1	9726839	9729184	46.74705756929637
chr1	11785653	11790968	52.84691439322671
chr1	11791137	11791396	54.8292471042471
chr1	11792208	11792449	54.766078838174266
chr1	11793837	11794159	53.4735248447205
chr1	11794288	11794608	52.87171875
chr1	11794659	11795418	53.980599472990775
chr1	11802811	11804602	52.954871580122834
chr1	11804929	11806006	53.48454038997214
chr1	23795529	23796077	54.549224452554746
chr1	23799296	23800874	52.92961026615969
chr1	23801815	23802634	53.902472527472526
chr1	23803518	23804595	54.2983983286908
chr1	23809217	23810869	52.48288438256659
chr1	23813762	23814408	53.46803405572755
chr1	23816296	23816840	53.87316176470588
chr1	23820440	23820663	55.19899103139013
chr1	23825286	23825529	55.815637860082305
chr1	23837994	23838690	53.931178160919536
chr1	32274667	32275325	53.70015197568389
chr1	32285444	32286235	53.6662768647282
chr1	33007870	33010903	51.83838608638312
chr1	33011378	33011780	54.75335820895523
chr1	33012974	33013472	54.3847891566265
chr1	33014295	33014664	53.05589430894308
chr1	33019613	33020231	54.47637540453074
chr1	33021523	33021773	53.5871
chr1	33031474	33031731	53.94523346303502
chr1	33036666	33037062	53.657323232323236
chr1	33080129	33080381	54.91071428571429
chr1	33080851	33081066	54.03127906976745
chr1	45507286	45507620	53.466841317365265
chr1	45508726	45513452	50.079935463393994
chr1	53196359	53197165	54.11001861042183
chr1	53199707	53204385	49.987211415134674
chr1	53207405	53211615	49.6538836104513
chr1	75724277	75724887	54.52963114754099
chr1	75728319	75728558	53.5097280334728
chr1	75732783	75733611	53.92104468599034
chr1	75745407	75745984	53.81321490467938
chr1	75749349	75749629	54.284464285714286
chr1	75750700	75750961	53.46159003831417
chr1	75769107	75769312	53.54390243902439
chr1	89524766	89525092	54.23489263803681
chr1	89526892	89527056	53.485823170731706
chr1	89568171	89568377	55.94235436893204
chr1	89579521	89579758	53.88291139240506
chr1	89592701	89597934	50.7693770303841
chr1	89712639	89719603	51.36879307869041
chr1	89758787	89759010	53.87118834080718
chr1	89761933	89764588	47.72633709981168
chr1	89768148	89769973	48.7636301369863
chr1	89843353	89843852	54.41427855711423
chr1	89846510	89846728	55.29151376146789
chr1	89932997	89936681	49.09273208469055
chr1	100186849	100196492	52.27192263818314
chr1	100210473	100211194	54.618273231622744
chr1	100214747	100215053	55.32344771241831
chr1	100230663	100230984	54.34704049844237
chr1	112917108	112918114	53.81284791252485
chr1	112921920	112922462	54.16406826568266
chr1	112955206	112956133	53.620523193096005
