chr1	33051235	33051790	37545	555	100
chr1	33052124	33052151	1318	27	100
chr1	33052274	33052307	632	33	100
chr1	33053105	33053410	15614	305	100
chr1	89561160	89561173	636	13	100
chr1	89561295	89561773	31373	478	100
chr1	89747218	89747733	31131	515	100
chr1	89747867	89747871	410	4	100
chr1	89748223	89749528	90540	1305	100
chr1	89749980	89750861	55809	881	100
chr1	89751097	89751882	52927	785	100
chr1	89752172	89752582	25050	410	100
chr10	74221093	74221185	2235	92	100
chr10	74221668	74221683	1208	15	100
chr11	3898574	3898595	920	21	100
chr11	3898706	3898792	1837	86	100
chr11	3899540	3899594	820	54	100
chr11	4001731	4001763	1172	32	100
chr11	4001853	4001971	2686	118	100
chr11	4002028	4002120	1932	92	100
chr11	4003065	4003334	10929	269	100
chr11	4003394	4003454	1016	60	100
chr11	4004436	4004718	13417	282	100
chr11	36551894	36554098	168940	2204	100
chr11	36554200	36557452	276536	3252	100
chr11	108262657	108262915	12136	258	100
chr11	108263293	108263415	2918	122	100
chr11	108263469	108263597	3047	128	100
chr11	108263654	108263756	1914	102	100
chr11	108263861	108263927	948	66	100
chr11	108264044	108264082	592	38	100
chr11	108264601	108265093	32963	492	100
chr11	108265531	108265930	22893	399	100
chr11	108358354	108358380	754	26	100
chr11	108358515	108358551	510	36	100
chr11	108359092	108359147	1694	55	100
chr11	108359226	108359259	552	33	100
chr11	108360366	108360387	1198	21	100
chr11	108360732	108360733	814	1	100
chr11	108360849	108360955	2090	106	100
chr11	108361019	108361374	16734	355	100
chr11	108361909	108362253	18082	344	100
chr11	108362503	108362542	718	39	100
chr13	100319338	100319362	718	24	100
chr15	76257628	76257681	1108	53	100
chr15	82193627	82193710	1870	83	100
chr15	82193809	82193872	1048	63	100
chr15	82201756	82201849	2068	93	100
chr15	82201944	82201985	630	41	100
chr15	82242324	82243758	118450	1434	100
chr15	82250121	82250561	27772	440	100
chr16	30188630	30189075	32228	445	100
chr17	42219350	42219735	23516	385	100
chr17	42264717	42265112	23917	395	100
chr2	210507693	210507698	283	5	100
chr2	210666224	210666326	1776	102	100
chr2	210666386	210666475	1614	89	100
chr2	216459640	216459661	1202	21	100
chr21	43053191	43055720	213724	2529	100
chr21	43055816	43056597	53892	781	100
chr21	43056696	43057237	36012	541	100
chr21	43057517	43059956	209102	2439	100
chr21	43060053	43061733	137516	1680	100
chr21	43061830	43063613	145424	1783	100
chr21	43063711	43065194	118098	1483	100
chr21	43065289	43066071	57794	782	100
chr21	43066303	43066769	29686	466	100
chr21	43067219	43067294	1288	75	100
chr21	43067393	43067728	14570	335	100
chr21	43067976	43068059	1708	83	100
chr21	43068149	43068238	1588	89	100
chr21	43068332	43068424	2386	92	100
chr21	43068532	43068563	736	31	100
chr21	43068812	43070057	95866	1245	100
chr21	43070151	43070898	52528	747	100
chr21	43070969	43075908	433914	4939	100
chr21	43075999	43076781	54108	782	100
chr5	70049612	70052156	216484	2544	100
chr5	70052237	70052856	40908	619	100
chr5	70052927	70060210	643964	7283	100
chr5	70060310	70068335	705708	8025	100
chr5	70068411	70068730	13118	319	100
chr5	70068820	70070126	100556	1306	100
chr5	70070195	70071135	68788	940	100
chr5	70071233	70072838	118672	1605	100
chr5	70072936	70074566	133431	1630	100
chr5	70075118	70075447	17828	329	100
chr5	70076188	70076385	6243	197	100
chr5	70076862	70077204	15944	342	100
chr5	70077303	70077750	26376	447	100
chr5	70077928	70078521	44924	593	100
chr5	70925030	70927577	216382	2547	100
chr5	70927655	70928273	41618	618	100
chr5	70928353	70935634	641764	7281	100
chr5	70935729	70943759	708756	8030	100
chr5	70943835	70944153	13098	318	100
chr5	70944253	70945554	103654	1301	100
chr5	70945617	70946562	72528	945	100
chr5	70946654	70947101	24976	447	100
chr5	70947201	70948266	78822	1065	100
chr5	70948365	70949990	131448	1625	100
chr5	70950541	70950873	17588	332	100
chr5	70951553	70951808	10701	255	100
chr5	70952284	70952620	16182	336	100
chr5	70952727	70953164	25982	437	100
chr5	70953349	70953941	44377	592	100
chr5	71604774	71605054	12186	280	100
chr5	71606480	71606943	27917	463	100
chr5	71607012	71607065	1027	53	100
chr5	71607203	71607232	691	29	100
chr5	71607357	71607433	1340	76	100
chr5	71607496	71607571	1529	75	100
chr5	71607990	71608552	32867	562	100
chr5	169665021	169665300	12004	279	100
chr5	169997471	169997484	204	13	100
chr5	170004583	170004608	1343	25	100
chr5	170004717	170004810	1985	93	100
chr6	32040842	32040909	1167	67	100
chr6	32041006	32041067	976	61	100
chr6	32041177	32041266	2070	89	100
chr6	32041374	32041407	612	33	100
chr6	80139299	80139336	600	37	100
chr7	117525323	117525835	32711	512	100
chr7	117525893	117525969	1271	76	100
chr7	117526313	117527972	135562	1659	100
chr7	117528086	117529193	73951	1107	100
chr7	117529249	117529351	2172	102	100
chr8	60760339	60760736	23382	397	100
chr9	320318	322382	166374	2064	100
chr9	380120	380468	16307	348	100
chr9	380557	380659	1987	102	100
chr9	380766	380791	485	25	100
chrX	31184445	31184720	13654	275	100
chrX	31228017	31228067	612	50	100
chrX	31511828	31511947	2717	119	100
chrX	31512285	31512593	14929	308	100
chrX	31513009	31513017	1023	8	100
chrX	31513096	31513232	3255	136	100
chrX	31513301	31513326	365	25	100
chrX	31530748	31530750	1017	2	100
chrX	31530867	31531551	38095	684	100
chrX	31531823	31532110	12570	287	100
chrX	31532311	31535547	251743	3236	100
chrX	31749645	31749725	1640	80	100
chrX	31750231	31750265	1561	34	100
chrX	31750752	31750806	1010	54	100
chrX	31897426	31897773	17690	347	100
chrX	31898232	31898266	599	34	100
chrX	32244412	32244569	3883	157	100
chrX	32244970	32245030	1111	60	100
chrX	32245434	32245899	25926	465	100
chrX	32245993	32246079	2006	86	100
chrX	32246172	32246282	2404	110	100
chrX	32246353	32246693	19035	340	100
chrX	32486651	32486669	1220	18	100
chrX	32486803	32486826	333	23	100
chrX	32733774	32733805	1452	31	100
chrX	32733900	32733996	1810	96	100
chrX	32734080	32734127	557	47	100
chrX	33304619	33304927	12834	308	100
chrX	33305004	33305072	1280	68	100
