chr	start	end	gene_name	exon_number	hit_type	hit_name	hit_region	percent_incorrect
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	EIF4G3	chr1:20832615-20833118	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=transcribed_unprocessed_pseudogene	SKINT1L	chr1:48153839-48155038	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	SRGAP2C	chr1:121310485-121310994	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	XPR1	chr1:180867781-180872279	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	FAM129A	chr1:184847266-184850559	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	AL390957.1	chr1:192504300-192505454	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	SRGAP2	chr1:206328785-206329535	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	SUSD4	chr1:223318570-223319286	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	DCDC1	chr11:30966615-30967117	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	RDX	chr11:110213338-110213849	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=processed_transcript	MIR100HG	chr11:122476775-122477906	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	SLCO1A2	chr12:21286324-21286845	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	OTOGL	chr12:80245186-80245996	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	RPH3A	chr12:112624543-112625939	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=transcribed_unprocessed_pseudogene	TPTE2P5	chr13:40833053-40833691	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=transcribed_unprocessed_pseudogene	TPTE2P5	chr13:40902484-40902991	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	AL512506.3	chr13:43967800-43968293	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	AL136441.1	chr13:76613800-76616085	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	MAP2K1	chr15:66450110-66451177	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	CDH8	chr16:61786439-61786944	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	SMIM36	chr17:55506019-55506682	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	AC016205.1	chr18:39569966-39570515	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=transcribed_unprocessed_pseudogene	AC016582.1	chr19:37840948-37842402	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	FAM49A	chr2:16594239-16598624	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	PLEKHH2	chr2:43661428-43662981	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	AC007100.1	chr2:60086956-60088467	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	NCKAP5	chr2:133300463-133301650	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	ACVR1C	chr2:157566738-157571727	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	AC016766.1	chr2:164120802-164122487	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	CSRNP3	chr2:165490241-165490779	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	AL121900.2	chr20:18605062-18605775	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=antisense	BHLHE40-AS1	chr3:4919938-4921425	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	ZNF385D	chr3:21984150-21984882	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	THRB	chr3:24283942-24284444	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	LINC02027	chr3:81052032-81056316	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	EPHA3	chr3:89346756-89347258	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	IQCJ-SCHIP1	chr3:159427412-159427920	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	YEATS2	chr3:183739237-183740002	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	CCSER1	chr4:91137929-91138725	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	SEMA5A	chr5:9259516-9261756	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=antisense	LUCAT1	chr5:91273461-91274007	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	MARCH3	chr5:126891307-126891806	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	FSTL4	chr5:133586527-133588192	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=bidirectional_promoter_lncRNA	AL355499.2	chr6:8567608-8568134	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	KIF6	chr6:39458649-39459406	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	ME1	chr6:83337923-83338861	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	EPM2A	chr6:145666501-145667020	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	PACRG	chr6:162990726-162991754	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	DGKB	chr7:14317646-14318149	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	AC005165.1	chr7:25607374-25607918	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	EYA1	chr8:71410194-71411278	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	VPS13B	chr8:99693988-99694533	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	COL14A1	chr8:120352722-120353248	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=lincRNA	LINC01591	chr8:135262930-135263957	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	PLPPR1	chr9:101103085-101104284	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	EDA	chrX:69983907-69986152	69.41
chr1	89748321	89748327	LRRC8C	Intronic	gene_type=protein_coding	KLHL13	chrX:118009236-118009763	69.41
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=protein_coding	EIF4G3	chr1:20832615-20833118	60.8
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=transcribed_unprocessed_pseudogene	SKINT1L	chr1:48153839-48155038	60.8
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=protein_coding	AGBL4	chr1:49261501-49262006	60.8
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=protein_coding	DAB1	chr1:58270192-58270704	60.8
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=transcribed_processed_pseudogene	AC092506.1	chr1:104218276-104218797	60.8
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=protein_coding	SRGAP2C	chr1:121310485-121310994	60.8
chr1	89748379	89748654	LRRC8C	Intronic	gene_type=protein_coding	RALGPS2	chr1:178841610-178842566	60.8
