chr	start	end	gene_name	exon_number	hit_type	hit_name	hit_region	percent_incorrect
chr5	71604774	71605054	MCCC2	Intronic	gene_type=processed_transcript	LINC01128	chr1:850832-851174	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CYP4B1	chr1:46808236-46808898	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	RAVER2	chr1:64798007-64798519	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	LEPR	chr1:65450433-65450779	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PRKACB	chr1:84229111-84229458	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	LRRC8B	chr1:89560409-89560772	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AL445426.1	chr1:112226831-112227209	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SRGAP2C	chr1:121309342-121310123	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PYHIN1	chr1:158958144-158958499	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	NOS1AP	chr1:162311699-162313096	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AL122019.1	chr1:177408677-177409174	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	RALGPS2	chr1:178777781-178778820	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	TDRD5	chr1:179647775-179648349	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AL138927.1	chr1:191063973-191064371	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CR1L	chr1:207735494-207736196	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CAPN2	chr1:223767341-223767716	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	NID1	chr1:236035060-236035597	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	KIF26B	chr1:245280748-245281127	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CCNY	chr10:35479201-35479552	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	FAM170B-AS1	chr10:49125028-49125378	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC00858	chr10:84285377-84285725	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	FANK1	chr10:125950716-125951066	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SCART1	chr10:133503619-133504871	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=transcribed_unprocessed_pseudogene	AC136759.1	chr11:49712010-49712358	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=transcribed_unprocessed_pseudogene	AC136759.1	chr11:49775201-49775667	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	AP003049.2	chr11:109404631-109405061	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SORL1	chr11:121601055-121601423	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	NELL2	chr12:44681611-44681948	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC008014.1	chr12:46704960-46705303	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SRGAP1	chr12:64140708-64141062	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	MYRFL	chr12:69944019-69944426	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	C12orf42	chr12:103439771-103440098	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SRRM4	chr12:119126628-119126992	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	DCLK1	chr13:36066876-36067300	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	AL512506.3	chr13:43966847-43967192	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=processed_transcript	DLEU1	chr13:50180375-50180881	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=processed_transcript	AL158066.1	chr13:52269712-52270191	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	MYCBP2	chr13:77204170-77204803	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	RNF219-AS1	chr13:78153864-78154280	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	RNF219-AS1	chr13:78283372-78283914	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	LINC02588	chr14:26629347-26630316	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=transcribed_processed_pseudogene	AL390334.1	chr14:27678464-27678828	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC02296	chr14:87428678-87429028	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC013652.1	chr15:39426102-39426430	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	TEX9	chr15:56332044-56332398	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC090518.1	chr15:56574825-56575882	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC060809.1	chr15:81735278-81736185	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC110023.1	chr15:93680808-93681252	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=transcribed_unitary_pseudogene	ABCA17P	chr16:2419470-2419841	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC02133	chr16:47808027-47808372	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	DNAH9	chr17:11845139-11845513	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	ANKFN1	chr17:56192895-56193230	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	BCAS3	chr17:60881509-60882089	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	AC090912.1	chr18:22819489-22819835	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC01376	chr2:19311247-19311608	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC018742.1	chr2:21903487-21903927	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SRD5A2	chr2:31576051-31577138	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC007402.1	chr2:51735392-51736018	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC007100.1	chr2:60086539-60089537	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC01798	chr2:66718613-66718993	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	LRRTM4	chr2:77243893-77244293	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CNTNAP5	chr2:124413282-124413676	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=sense_overlapping	AC012501.1	chr2:153538540-153539141	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PPP1R1C	chr2:182025362-182025737	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC01090	chr2:188128932-188129264	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	RFTN2	chr2:197634918-197635253	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	AC009226.1	chr2:207273693-207274047	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	MAP2	chr2:209598623-209598970	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC01807	chr2:228573791-228574151	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	ABHD12	chr20:25335171-25335690	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AL118523.1	chr20:39805779-39806132	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PTPRT	chr20:42515640-42515995	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SAMSN1	chr21:14587843-14588175	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	IFNAR1	chr21:33336065-33336516	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	LMCD1-AS1	chr3:8335898-8336259	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PLCL2	chr3:16970258-16970964	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CACNA2D3	chr3:55046263-55046623	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	C3orf67	chr3:58821624-58822083	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	C3orf67	chr3:58846452-58847945	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CADPS	chr3:62847206-62847735	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PROS1	chr3:93903933-93904311	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	LSAMP	chr3:116203452-116203792	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	AC112504.2	chr3:141757276-141757634	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	TFDP2	chr3:142010924-142011358	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	NAALADL2	chr3:175435961-175436312	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=sense_overlapping	SOX2-OT	chr3:181119753-181120088	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	FGF12	chr3:192739386-192742422	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	KCNIP4	chr4:21686733-21687074	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AL136537.1	chr4:37105159-37105500	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	RAP1GDS1	chr4:98324923-98325777	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	EMCN	chr4:100718538-100718930	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	LRBA	chr4:150638751-150639093	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	MARCH1	chr4:164105767-164106507	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	ENPP6	chr4:184213655-184213997	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC02107	chr5:38169663-38169995	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PDE4D	chr5:60501196-60501887	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC099520.1	chr5:104446410-104447350	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	NREP	chr5:111886368-111886757	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	KCNN2	chr5:114357453-114357805	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SIL1	chr5:139005504-139005852	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CDKAL1	chr6:20614929-20616104	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	EFHC1	chr6:52477836-52478211	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AL357507.1	chr6:74365168-74365537	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	EYA4	chr6:133521090-133521879	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	PRKN	chr6:162114922-162115270	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	CREB5	chr7:28743910-28744254	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	BBS9	chr7:33168827-33169208	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	BMPER	chr7:33988783-33989355	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	HECW1	chr7:43412460-43412819	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SEMA3A	chr7:83989441-83989784	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SEMA3A	chr7:84151998-84152421	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SRI	chr7:88221874-88222589	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	LHFPL3	chr7:104557841-104558192	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	FOXP2	chr7:114454537-114454902	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC011586.2	chr8:16674661-16675019	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	LINC02099	chr8:29763872-29764219	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	AC022826.2	chr8:73863001-73863589	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	RALYL	chr8:84615693-84616302	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC103409.1	chr8:91874731-91875327	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=lincRNA	AC103993.1	chr8:113609746-113610408	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=antisense	PCAT1	chr8:127320180-127320609	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	SH3GL2	chr9:17686366-17686717	68.83
chr5	71604774	71605054	MCCC2	Intronic	gene_type=protein_coding	ADAMTSL1	chr9:17999642-18000006	68.83
